mcc,merchant_string,network,Confidence_Level_NaiveBayes,All_Predict_NaiveBayes,Predict_NaiveBayes,Predictions_Logistic_Regression,Final_mapped_brand_prediction
5651.0,RUE21 #7000,V,0.8893479774529305,rue21,None,rue21,rue21
5621.0,RUE21 #1479,V,0.999511030282356,rue21,None,rue21,rue21
5621.0,RUE21 #1372 AUBURN,V,0.9999887534822889,rue21,rue21,rue21,rue21
5621.0,RUE21 #1533,V,0.990911439815843,rue21,None,rue21,rue21
5621.0,RUE21 # 918 CHESAPEAKE,V,0.9911424447334998,rue21,None,rue21,rue21
,RUE21 2200 N MAPLE,,0.9582791866619075,rue21,None,rue21,rue21
5621.0,RUE21 #1143 PUYALLUP,V,0.9998446612800361,rue21,rue21,rue21,rue21
,RUE21 # 288 JOHNSON CR,,0.9999400098926122,rue21,rue21,rue21,rue21
,RUE21 9570 SAGE ME,,0.9994877661648975,rue21,None,rue21,rue21
5651.0,RUE21 #7000,V,0.8893479774529305,rue21,None,rue21,rue21
5621.0,RUE21 #1286 DUBLIN,V,0.9999971214616116,rue21,rue21,rue21,rue21
5621.0,RUE21 #1094 NORFOLK,V,0.9999748750039437,rue21,rue21,rue21,rue21
,RUE21 # 31 ORLANDO,,0.9993155562895322,rue21,None,rue21,rue21
5621.0,RUE21     9570 SAGE ME,D,0.9999798353917777,rue21,rue21,rue21,rue21
5814.0,SONIC DRIVE IN #4458,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #6584,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #4134,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #5562,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #1818,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #6160,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #4755,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #3132,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC #74,V,0.9991288621760804,sonic,None,sonic,sonic
5812.0,SONICDRIVEINSTORE.COM,V,0.22416600211575965,paypal,None,sonic,sonic
5814.0,SONIC DRIVE IN #6403,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #5871,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #5066,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #4390,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #3926,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #2243,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #1176,V,1.0,sonic,sonic,sonic,sonic
5814.0,Sonic #2678,V,0.9669518753013304,sonic,None,sonic,sonic
,SONIC DRIVE IN 2949,,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #6484,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #6207,V,1.0,sonic,sonic,sonic,sonic
,SONIC DRIVE IN #6098,,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #5717,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #5326,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #4946,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #4487,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #4193,V,1.0,sonic,sonic,sonic,sonic
,SONIC DRIVE IN #3989,,1.0,sonic,sonic,sonic,sonic
,SONIC DRIVE IN #3618,,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #3103,V,1.0,sonic,sonic,sonic,sonic
,SONIC DRIVE IN #2130,,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN #1281,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC DRIVE IN  2949,V,1.0,sonic,sonic,sonic,sonic
5814.0,SONIC #3041,V,0.9923955984583762,sonic,None,sonic,sonic
5013.0,1205 LKQ PICK YOUR PAR,V,0.6659378085010428,atm,None,atm,atm
5411.0,12 ST GOURMET DELI INC,V,0.9415102043080462,atm,None,atm,atm
